Customer_ID,Name,Age,SSN,Occupation,Annual_Income
CUS_0x3f04,Jenniferu,25,465-93-9571,Manager,43758.34
CUS_0x62c6,,20,860-36-1556,Writer,144881.68
CUS_0x398d,Leongy,38_,407-06-9232,Media_Manager,108147.3
CUS_0x618b,Vaughano,27,550-94-8995,Lawyer,17759.1
CUS_0x7250,Doris Frankelj,37,651-67-7536,Teacher,85328.73
CUS_0x6435,,26,538-49-2118,Writer,134321.44
CUS_0xb6ad,Jamiec,24,584-60-4961,Lawyer,61008
CUS_0x7878,Anna Driverq,19,037-28-6132,Developer,28665.76
CUS_0x35b5,Andrewm,18,432-18-5390,Lawyer,56803.71
CUS_0x7a0f,Soyoungc,31,838-98-6353,Architect,38364.82
CUS_0x1c09,Ritsukoh,21_,365-73-8387,Lawyer,66528.24
CUS_0x2c0d,ernieh,55,784-23-6447,Doctor,19403.405
CUS_0x9073,Matt Falloono,19,751-65-6458,Journalist,31122.79
CUS_0x2813,John McCrankg,19,361-34-7350,_______,15015.4
CUS_0xac93,Hornbyg,34,744-52-9753,Engineer,19777.05
CUS_0x8c69,Toonkelf,24,070-07-9414,Musician,20188.02
CUS_0x365a,,54,026-57-5729,Scientist,41345.58
CUS_0x7586,Stevee,31,790-90-6437,Engineer,55151.04
CUS_0x9c67,Mariy,39,977-57-0254,Manager,30536.62
CUS_0x7caf,Rl,3169,628-85-7991,Architect,147499.6
CUS_0xa2f7,Kevinq,42,858-89-0350,Architect,20005.22
CUS_0x5e17,Clarkew,32,970-52-2075,_______,19795.52
CUS_0x1288,Taylorq,33,609-85-2725,Doctor,60938.13
CUS_0x567b,Marilynj,54,542-44-1751,Manager,80396.86
CUS_0x2365,Browningo,42,552-90-7532,_______,57610.32
CUS_0x8a04,Mutikanib,36,966-14-4315,_______,18717.02_
CUS_0x6015,,-500,548-76-0110,Journalist,19163.22
CUS_0x21e6,Strupczewskid,48,328-75-6365,Media_Manager,94554.87
CUS_0xa9a6,Henry Foyi,27,600-76-4920,Musician,63536.98
CUS_0x3187,,39,024-52-4439,Architect,9983.345
CUS_0x3fbf,Clara Ferreira-Marquesi,14,#F%$D@*&8,Accountant,27796.42_
CUS_0x953c,Aruna Viswanathag,29,380-11-4962,Engineer,132872.72
CUS_0x4aaa,Caseyo,41,676-15-0435,Architect,140014.36
CUS_0x2947,Carolinew,47,742-36-4668,Accountant,37071.2
CUS_0x30e0,Appsq,20,644-19-7211,Entrepreneur,41735.55
CUS_0xc3b7,Ilainar,38,482-53-4479,Architect,40391.66
CUS_0x1e9b,Taylorb,18,866-51-6415,Writer,7441.295
CUS_0x3b88,Mikex,40,#F%$D@*&8,Scientist,19065.32
CUS_0xae51,,46,082-17-4774,Entrepreneur,24585.55_
CUS_0xb7ef,Samd,26,786-92-9485,_______,15013.73
CUS_0xb288,Nicolacir,43,390-44-4596,Journalist,126006.68
CUS_0x7a22,Sabam,49,478-48-4669,Developer,102885.32
CUS_0x9495,Freifeldo,38,#F%$D@*&8,Teacher,34212.01
CUS_0x64f1,Michael Ermanl,26,955-39-6420,Entrepreneur,118487.16
CUS_0x6749,Subhadip Sircarf,26,109-19-0368,Mechanic,77418.52
CUS_0xc1c9,Jessica Toonkelx,45,085-10-1065,Architect,24199.24
CUS_0x230a,Lashx,47,902-99-6202,Musician,28587.29
CUS_0x8928,Ernest Scheyderr,31,137-96-5829,Manager,16578.115
CUS_0x682f,en Klaymant,20,941-62-4990,Writer,74647.4
CUS_0x4831,Sharpq,43,#F%$D@*&8,Mechanic,34766.06_
CUS_0x32a5,"""John ODonnell""f",22,900-72-1051,Engineer,16852.635
CUS_0x710f,Morganz,20,805-31-3666,Scientist,33502.1
CUS_0xa54b,Ben Berkowitze,27,732-98-2688,Media_Manager,91690.53
CUS_0x564a,Rick Rothackerq,36,763-78-4306,Entrepreneur,30502.54
CUS_0xb000,Frazierm,20,087-15-2781,Media_Manager,30272.61
CUS_0x2584,Steven C.z,31,742-33-7816,Accountant,59971.42
CUS_0x5a3f,Dineshi,32,818-84-4299,Accountant,42220.39
CUS_0xc341,Carlos Ruanov,51,982-11-3853,Architect,43581.13
CUS_0x1a96,Sinead Carewi,49,#F%$D@*&8,_______,28681.38
CUS_0xb7a1,Danielb,33,929-30-5884,Doctor,35376.32
CUS_0x31d5,Mutikanit,48,325-07-8725,Doctor,15488.885
CUS_0x45f7,Cheez,26,322-37-0548,Entrepreneur,19853.35
CUS_0x6617,,32_,276-40-7171,Writer,115643.01
CUS_0x5b80,Edward Taylorz,44,549-37-6666,Journalist,7512.225
CUS_0xa548,Costa Alisterq,15,064-39-6784,Mechanic,35161.46
CUS_0xb9ea,Aileen Wangy,33,202-04-9323,Writer,9133.045
CUS_0x54c0,Hollx,22_,934-98-5531,Entrepreneur,19283.47_
CUS_0x258b,Alastair Sharpe,23,890-04-0712,Scientist,66502.76
CUS_0x4bb4,,33,742-40-7361,Media_Manager,9444.795_
CUS_0x8e75,,-500,854-67-0053,Doctor,70112.78
CUS_0xf95,Alexei Anishchukz,17,082-42-3634,Entrepreneur,15604.56
CUS_0x4028,Papachristouy,36,407-45-5883,_______,68935.26
CUS_0x8db8,,42,451-74-2945,Doctor,31807
CUS_0x1e63,Aileen Wangy,36,341-75-1132,Musician,10025.2
CUS_0x4948,Robinsonc,39,432-73-5991,Media_Manager,64036.88_
CUS_0xc37b,Thomaso,29,919-05-3349,Teacher,9783.245
CUS_0xfcc,Suvashree Deyy,22,388-13-4625,Accountant,86522.72
CUS_0x64ce,Lopezu,21,066-73-7172,Lawyer,124419.66
CUS_0x9574,Viswanathan,50,778-83-5214,Entrepreneur,15606.515
CUS_0xbc88,Matthew Goldsteinb,24,648-41-8012,Developer,28230.92
CUS_0x661b,Jennifer Ablanc,28,926-72-2848,Developer,10623.765
CUS_0xc51,,19,269-33-7962,Teacher,11970.955
CUS_0x9536,Sabar,40,#F%$D@*&8,Manager,112362.76_
CUS_0xc5a0,Gillesb,20,650-73-8163,Manager,33335.24
CUS_0xb282,Sara Rossii,32,273-80-9678,_______,131577.84
CUS_0xb9b8,Dhanya Skariachand,48_,867-87-8867,Entrepreneur,32314.44
CUS_0x3e81,Chuck Mikolajczaky,4872,#F%$D@*&8,Manager,61235.6
CUS_0x3702,Barbashr,39,#F%$D@*&8,Journalist,4282515
CUS_0x8a0f,Pelofskyv,34,419-92-2278,Mechanic,83703.52_
CUS_0x21be,Ransdellx,45,340-80-4117,Musician,99127.04
CUS_0x8c1f,Warren Strobels,15,471-06-8456,Writer,10405.01
CUS_0x67e1,Cablef,42,298-35-2655,Lawyer,135895.96
CUS_0x1c06,Scuffhamx,21,051-71-5276,Doctor,29608.46
CUS_0x5761,Taylora,29,154-57-8374,Entrepreneur,29999.94
CUS_0x9a4a,Poppery,15,456-84-1684,Musician,52972.5
CUS_0x100b,Shirboni,18,238-62-0395,Media_Manager,113781.39
CUS_0x6325,Andyc,30,964-44-0435,Lawyer,15746.63
CUS_0x4e3c,Toonkeld,19,624-70-5384,Lawyer,97961.96
CUS_0xb217,,47,#F%$D@*&8,Architect,31895.07
CUS_0xb374,enu,31,946-08-9738,Architect,30922.28
CUS_0x1d4e,McCranke,37,182-25-5092,Journalist,25530.33
CUS_0x8a4b,,51,142-99-2481,Doctor,110786.64
CUS_0x93ff,Roumeliotisv,26,237-50-9740,Lawyer,39696.98
CUS_0x3e2d,"""Manuelap",34,958-76-6001,Journalist,120366.6
CUS_0x493c,Taylorj,51,977-92-2690,Mechanic,13074.395
CUS_0x88a0,Tarmov,30,266-68-0248,Manager,76087.68
CUS_0x543f,Lucia Mutikanid,23,333-87-6291,Mechanic,51824.94
CUS_0x9f7e,Michael Ermani,31,541-63-9508,Journalist,11431.775_
CUS_0x23a6,Valetkevitchm,38,564-11-2906,Doctor,14224.655
CUS_0xa874,Camposg,46,742-30-5692,Musician,142170.12
CUS_0x4ea5,Schnurrk,45,407-67-3737,Mechanic,19951.765
CUS_0x8208,Jonathan Spicers,-500,084-02-0981,Teacher,94454.1
CUS_0xb35f,Nicolacia,28_,794-17-7391,Doctor,27063.43
CUS_0x8696,Aileen Wangw,44,579-41-4525,Media_Manager,36980.1
CUS_0x49da,Lashh,26,915-13-4225,Teacher,96582.24
CUS_0x5d94,Tom Milese,39,653-16-0086,Developer,122978.43
CUS_0x3ef5,Robinsonl,-500,259-09-9023,Doctor,7821.24
CUS_0xbda3,Chris Vellacotte,22,016-19-9621,Manager,30972.54_
CUS_0x29fd,Steven C.g,28,165-17-6571,Developer,7709.625
CUS_0xbbf3,Laura Noonanp,53,111-86-2174,Journalist,34547.54
CUS_0x2c31,Yokog,30,680-06-0631,Musician,173196.32_
CUS_0xb4be,Carrick Mollenkampu,19,976-78-6014,Engineer,20354.85
CUS_0xa203,,40,986-88-3065,Entrepreneur,46113.81
CUS_0xa7c3,Vidalonw,14,327-52-9304,Doctor,8882.47
CUS_0x76e7,env,26,532-39-3348,Manager,34128.92
CUS_0x46d4,Chann,43,038-09-8528,Scientist,29042.45
CUS_0x396e,"""Eileene",32,#F%$D@*&8,Architect,26716.09
CUS_0x74f5,,14,060-43-3101,Doctor,74733.44
CUS_0xb9e5,Katev,44,616-71-3032,Media_Manager,8681.77
CUS_0xacbe,Henryg,37,406-29-0152,Media_Manager,10034.55_
CUS_0x9951,Doug Palmerf,40,735-73-7454,Teacher,20540.49
CUS_0xbcb9,Oreskovicb,51_,441-44-7311,Musician,38175.39
CUS_0xae95,Peterw,22,801-07-4941,Accountant,116594.91
CUS_0x1f9e,Joyce Leeo,48,192-60-6723,Manager,24894.05
CUS_0x2242,Barrf,38,067-10-5283,Teacher,39399.9
CUS_0x3e85,Julienz,24,863-16-6413,Musician,142113.96
CUS_0xa47,Jonathan Stempelm,47,815-90-8113,Mechanic,65299.38
CUS_0xaa40,Onoszkoz,52,278-80-9296,Manager,33200.52
CUS_0x1452,Sarah Whited,40,976-05-6851,Architect,82289.36
CUS_0x76cf,Catherine Bosleyn,39,656-17-2477,Entrepreneur,7792.475
CUS_0x703f,Annikam,36,830-01-1609,Writer,65778.22
CUS_0x572,Tom Halsb,44,643-37-2319,Teacher,12016
CUS_0x104e,Kentaros,50_,837-93-5062,Teacher,19180.87
CUS_0x6f38,Ransdellj,30,593-29-9633,Entrepreneur,60552.76
CUS_0x7b3c,ray,40,397-72-8040,Mechanic,44386.47
CUS_0x709d,Palmers,40,042-91-6695,Lawyer,9141.63
CUS_0xc434,Mariannae,35,891-36-0838,Journalist,11245.11
CUS_0x8a12,Sullivang,39,691-41-8769,Accountant,98197.74
CUS_0x4eb4,Michael Avokf,21,955-76-5444,Journalist,30197.28
CUS_0xab00,Markx,18,468-20-7719,Manager,31633.54
CUS_0x8c9a,Caroline Valetkevitchr,31_,759-79-5662,Architect,118172.64
CUS_0x2c5e,Lynchj,34,688-03-3022,Lawyer,19623.18
CUS_0x70d5,,32,#F%$D@*&8,Mechanic,63197.26
CUS_0xb052,Claren,35,076-62-8134,Journalist,10007.815
CUS_0x7c34,Norihiko Shirouzun,27,326-05-4047,Entrepreneur,121688.04
CUS_0x4256,,21,030-61-4163,Accountant,31069.32
CUS_0x4f04,Suvashree Deyw,38,546-04-1407,Mechanic,72241.02
CUS_0x41b7,Laurens,24,891-76-2011,Teacher,7612.725
CUS_0x9095,Sinead Carewx,46,410-78-4268,Manager,16953.985
CUS_0xa05f,Zhdannikovi,21,276-54-6995,Scientist,125508.36
CUS_0x309d,Anna Yukhananovm,16,887-92-9025,Doctor,7495.305
CUS_0xa522,Sarahr,14,079-57-0728,Musician,35133.49
CUS_0x8a6e,Annab,48,413-30-1170,Mechanic,16866.5
CUS_0x77d1,Alpere,33,085-79-9089,Accountant,18969.19
CUS_0xde6,Melanie Leer,55,392-06-4039,Engineer,36154.19
CUS_0xa672,Glenn Somervilleo,31,874-58-8010,Entrepreneur,51113.85
CUS_0x8caf,,17,093-46-5039,Developer,18784.88
CUS_0x4655,Lawdert,46,341-38-6599,Accountant,49889.38
CUS_0x25aa,Ilainaj,14,177-44-9176,Mechanic,29233.34
CUS_0xbd08,Andrea Shalal-Esag,40,605-66-3118,Journalist,28922.03
CUS_0x6b44,Dan Levined,39,453-58-1018,Developer,20742.46
CUS_0x7517,Basesn,35,795-08-8326,Teacher,55719.18
CUS_0x5228,Poornima Guptax,16,#F%$D@*&8,Mechanic,55558.71
CUS_0x2e6e,Andreasf,24,176-54-2609,Engineer,33447.42
CUS_0x280b,orv,26,434-17-8443,Accountant,34841.87
CUS_0x51b4,Ben Hirschlerq,35,243-06-9936,Engineer,17655.43
CUS_0xa1d6,Damounid,30,751-35-1347,Architect,7103.035
CUS_0x8b12,Katharina Bartn,39,645-02-5061,Journalist,63101.14
CUS_0xa459,Lopezl,15,315-62-8807,Accountant,33453.08
CUS_0xf23,Lawrencef,42,#F%$D@*&8,Mechanic,83845.7
CUS_0x7cfc,Shalal-Esaf,36,608-99-2576,Writer,108415
CUS_0x728f,Carewl,52,698-98-1498,Doctor,32663.41
CUS_0xd05,Daniel Flynnu,45,600-02-1948,Musician,132537.24
CUS_0x3cf7,Yaog,30,226-49-8871,Journalist,17850.56
CUS_0xa71a,ernardot,33,999-84-9578,Teacher,15713.83
CUS_0x32ce,Nate Raymondd,30,153-11-6855,Accountant,62050.89
CUS_0x9b4c,ill Rigbys,36,129-84-0948,Doctor,18744.4
CUS_0x4330,Huww,38,500-96-4323,_______,12070.845
CUS_0xf59,Huntt,21,008-37-9819,Doctor,38539.57_
CUS_0x9a58,Ernest Schuyderl,47,669-26-2513,Mechanic,48411.24
CUS_0x409e,James Pomfretu,23,088-38-3435,Manager,47275.96
CUS_0x532d,Levinec,42,#F%$D@*&8,Writer,30232.28
CUS_0xadb7,Emilym,548,332-22-1188,Architect,33314.96
CUS_0xa9ca,Reiji Muraio,44,#F%$D@*&8,Lawyer,7599.035
CUS_0x69a9,Blamontg,18,#F%$D@*&8,Writer,97640.4_
CUS_0x7dfb,Jonathanq,33,986-47-8911,Musician,75881.16
CUS_0x479,,28,854-62-5244,Mechanic,36490.98_
CUS_0x3b5d,Fooa,18,341-44-0136,Developer,30743.6
CUS_0x9167,Henryh,21,033-47-7890,Entrepreneur,177150.4
CUS_0x4a5b,Rucinskiw,26,395-63-5787,Architect,110264
CUS_0xfdd,,14,977-98-5964,Scientist,32128.24
CUS_0x4883,Clareb,23,822-72-2207,Entrepreneur,151722.56
CUS_0x6387,,26,063-08-8008,Manager,62316.63
CUS_0xd83,Rie Ishigurot,43,214-39-6385,Lawyer,19310.62
CUS_0x3ce3,Euan Rochai,47,319-42-1987,Entrepreneur,94511.79
CUS_0xa706,Matthiasr,49,475-31-3601,Manager,96275.84
CUS_0x9983,Julien Toyerb,36,510-91-2920,Writer,57219.92
CUS_0x2877,McLeodc,30,922-07-2675,Writer,80591.2
CUS_0x1df1,Barberm,30,265-59-2725,_______,73434.92
CUS_0x4223,Investment Correspondentu,-500,631-86-9034,Developer,53916.84_
CUS_0x3f47,Ridleyc,34,393-00-8916,Musician,53071.47
CUS_0x86b,Paulr,42,372-37-8955,Engineer,69692.16
CUS_0x98f9,da Costaa,33,704-68-7178,Entrepreneur,15735.68
CUS_0x46eb,Johnm,31,#F%$D@*&8,Engineer,20502.64
CUS_0x1863,,53,316-92-2785,Manager,55662.64
CUS_0x481f,Hudsonl,20,322-85-4061,Scientist,19758.84
CUS_0x79b,Chuckl,26,773-62-4134,Lawyer,55000.62
CUS_0xbf19,Jennifer Ablans,16,209-19-4326,Doctor,10352.745
CUS_0xa501,Horowitzq,34,455-84-4696,Mechanic,50811.27
CUS_0x2602,John McCrankq,27,825-61-3522,Scientist,59448.04
CUS_0x96e,Melissaj,47,394-26-5712,Doctor,18549.28
CUS_0x864a,Choe,49,288-57-7696,Teacher,134810.13
CUS_0x56d1,Bena,27,203-76-0108,Writer,162550.32
CUS_0xae0e,Henryu,20,063-40-8380,Accountant,102596.64
CUS_0x3b3f,,31,876-41-0796,Manager,14884.465
CUS_0x9bc4,Brs,39,644-42-9017,Architect,31732.61
CUS_0x62a4,Wolde Katel,46,287-49-6561,Lawyer,50847.22
CUS_0x4c77,Tim Gaynorq,33,127-59-2463,Doctor,9349.475
CUS_0x62f0,Andream,43,183-01-9526,Teacher,135115.44
CUS_0x342a,Andreasm,34,566-11-2306,Lawyer,66169.56
CUS_0x7597,McCooll,43,572-60-9561,_______,56760.51
CUS_0xbb6e,Elvina Nawagunaq,32,896-42-9226,Architect,108223.62
CUS_0x7c55,Sarah N.h,31,218-72-3933,Manager,53098.47
CUS_0xa835,Henry Foye,54,093-23-2302,Musician,17853.5
CUS_0x467f,Johns,19,253-64-1331,Accountant,16813.54
CUS_0x7590,Malathi Nayakw,43,751-03-4015,Architect,68665.76
CUS_0x515a,Dena Aubing,20,665-62-6458,Developer,22500.52
CUS_0x114a,Valetkevitchu,42,133-89-5234,Developer,15305.46
CUS_0x49dd,,14,966-28-7046,Engineer,15544.47
CUS_0x6346,Suzanneb,50,005-96-9331,Media_Manager,99089.52
CUS_0x481c,Suzanneh,22,356-46-8172,Media_Manager,9307.24
CUS_0xa1ea,Pedro Nicolacim,41,390-23-8969,Architect,134316.2
CUS_0x70b2,Zhou Xiny,39,830-58-7325,Media_Manager,38685.98
CUS_0xc365,Volcovicif,22,070-70-9782,Doctor,69933.98
CUS_0x8efa,Younga,26,933-08-6838,Entrepreneur,21075.36
CUS_0x9783,Luciac,-500,360-46-5304,Accountant,60843.33
CUS_0x6a17,Svear,35,998-47-8892,Musician,15091.03
CUS_0x8c03,Drivera,19,739-21-8242,Scientist,54987.52_
CUS_0xadf6,Halpinh,38,300-53-0224,Doctor,7506.125
CUS_0xa166,Nadiaf,43,#F%$D@*&8,Engineer,17448.08
CUS_0x7d27,Polinaa,40,573-84-1711,Journalist,42241.19
CUS_0x5698,Herbert Lashz,3616,169-39-0968,Entrepreneur,31087.66_
CUS_0x51e,Edwardsi,42,946-94-7531,Developer,132414.16
CUS_0xab3b,Grovert,54,747-67-2935,Lawyer,92794.04
CUS_0xf43,Michelef,37,131-37-1161,Media_Manager,82998.24
CUS_0x345b,Jessical,41,118-30-0727,Musician,16582.83
CUS_0x4c34,Melaniez,45,019-49-4119,Entrepreneur,31896.42
CUS_0x3d51,Baertleinm,21,092-73-8014,Entrepreneur,34927
CUS_0x9fff,Tenf,54,826-73-0532,Mechanic,25020.07
CUS_0xa41e,Sweeneyt,30,360-35-4496,Doctor,82778.56
CUS_0x797d,Leskeb,36_,178-56-1075,Doctor,94052.22
CUS_0x9c4,Scott Haggettd,22,851-46-0194,Writer,16355.71
CUS_0x9d0d,Chrisq,18,550-29-3197,Engineer,15119.56
CUS_0x602d,Gavin Jonesu,15,041-28-6430,Teacher,20639.79
CUS_0x63dd,Rodrigo Camposw,36,706-84-4068,Doctor,18472.71
CUS_0x3f27,Julien Toyerp,54,042-79-0167,Lawyer,42731.27
CUS_0x67ff,Barlyni,31,017-88-1687,Manager,82700.32
CUS_0xc247,rian Loveq,44,800-03-6665,Developer,11968.51
CUS_0xc723,Soyoung Kimt,32,305-49-2524,Mechanic,33386.25
CUS_0xa213,Jessicau,15,940-01-4923,Architect,67614.24
CUS_0x6065,Cremerp,35,332-11-5896,Accountant,174304.04
CUS_0x7f61,Saphirq,25,#F%$D@*&8,Doctor,68742.75
CUS_0xb563,Kirstinj,45,782-43-1037,Journalist,15932.725_
CUS_0x47b2,Mary Gabrielx,43,799-70-1935,Doctor,55583.67
CUS_0x9338,Bartj,18,420-69-3653,Architect,72252.36
CUS_0x6102,Wanfengo,32,718-37-2610,Scientist,30399.06
CUS_0x5794,Katharina Bartz,41,201-91-3081,Lawyer,8365.075_
CUS_0xa560,Mark Felsenthalr,19,316-70-8777,Teacher,133410.66
CUS_0x7fe3,Anna Ringstromn,42,561-77-1789,Developer,19167.04
CUS_0x4c3e,Paolo Biondik,39,181-99-1436,Media_Manager,28169.07_
CUS_0x41e4,Leika Kiharad,45,803-07-6149,Teacher,12613.56
CUS_0x2484,env,18,781-29-3684,Musician,29625.82
CUS_0xb560,,22,221-90-6592,Architect,62223.06_
CUS_0x4e8b,Sarahy,44,961-90-2351,Journalist,14976.45_
CUS_0x8b96,Daniely,20,342-46-9453,Doctor,82454
CUS_0x9b60,Ricka,33,624-63-2071,Architect,62874.96
CUS_0xaf23,Nick Edwardsg,37,231-01-3965,_______,17164.72
CUS_0xbda2,Joness,31,137-60-0428,Manager,37302.1
CUS_0x82cc,Jebr,31,156-63-4771,Architect,7526.205
CUS_0x7812,Davev,21,992-47-8736,Scientist,19653.005
CUS_0xc23d,Luciax,30_,031-88-3485,Scientist,174179.64
CUS_0x93bb,Andrea Shalal-Esan,19,886-41-9777,Doctor,41543.64
CUS_0x46e6,,18,772-99-7774,_______,9582.775
CUS_0x5ccb,Govindasamyh,41,037-01-6529,_______,21720.955_
